species,lat_max,lon_min,lat_min,lon_max
evergreen,47.026824, 142.848737,47.026384, 142.849252
evergreen,47.108143, 142.871203,47.106561, 142.873285
evergreen,47.153553, 142.876214,47.152792, 142.877588
evergreen,46.916400, 142.901274,46.915930, 142.901684
evergreen,47.169566, 142.896671,47.169337, 142.897092
evergreen,47.423516, 142.349084,47.423024, 142.349433
evergreen,47.492550, 142.259997,47.491932, 142.260598
evergreen,47.569253, 142.196025,47.568930, 142.196374
sparsevergreen,46.636073, 143.294617,46.635156, 143.295862
sparsevergreen,46.637601, 143.307320,46.636699, 143.308436
sparsevergreen,46.629838, 143.320886,46.628729, 143.321808
sparsevergreen,46.578735, 143.331522,46.577093, 143.333067
sparsevergreen,46.634771, 143.278200,46.632702, 143.280861
sparsevergreen,46.628018, 143.187391,46.627287, 143.188389
sparselarch,46.686959, 143.118175,46.686154, 143.119130
sparselarch,46.683744, 143.129756,46.683744, 143.129756
sparselarch,46.657630, 143.219526,46.656766, 143.220481
sparselarch,46.646884, 143.217277,46.646189, 143.218060
sparselarch,46.648920, 143.214108,46.648314, 143.214848
sparselarch,46.634533, 143.214435,46.634157, 143.215133
sparselarch,46.664571, 143.350033,46.664261, 143.350655
sparselarch,46.771023, 143.396824,46.770743, 143.397060
sparselarch,46.788496, 143.389577,46.788194, 143.390060
sparselarch,47.479143, 142.679118,47.479143, 142.679118
sparselarch,47.420084, 142.764412,47.420084, 142.764412
sparselarch,47.328991, 142.712118,47.328582, 142.713083
sparselarch,46.745546, 142.557949,46.744697, 142.559021
